Date,TIME,OPEN,HIGH,LOW,LAST_PRICE,NUMBER_TICKS,VOLUME
07-04-2016 00:00,14:50:00,1423.5,1423.5,1416.8,1418.5,127,4938
07-04-2016 00:00,14:55:00,1417.95,1417.95,1415.05,1415.35,113,2873
07-04-2016 00:00,15:00:00,1415.35,1420,1415.05,1419.9,92,3037
07-04-2016 00:00,15:05:00,1419.2,1420,1415.05,1415.15,128,2804
07-04-2016 00:00,15:10:00,1415.15,1417.75,1415,1417,123,3261
07-04-2016 00:00,15:15:00,1417.9,1419.95,1415.4,1419,138,3272
07-04-2016 00:00,15:20:00,1419,1419.8,1416.1,1419,119,5355
07-04-2016 00:00,15:25:00,1419.9,1420.2,1416.4,1419.5,113,4270
08-04-2016 00:00,09:15:00,1411.9,1423.75,1411.9,1419.35,155,5878
08-04-2016 00:00,09:20:00,1418.75,1423.35,1418.45,1421,113,4355
08-04-2016 00:00,09:25:00,1421.35,1423.05,1415.45,1416.8,137,3949
08-04-2016 00:00,09:30:00,1417.55,1424.4,1416.6,1424,150,3448
08-04-2016 00:00,09:35:00,1424,1427.85,1423.65,1427,180,5365
08-04-2016 00:00,09:40:00,1426,1432.05,1426,1429.65,205,9403
08-04-2016 00:00,09:45:00,1429.5,1430.9,1427.9,1429.85,243,3188
08-04-2016 00:00,09:50:00,1429.25,1430,1428.1,1429,136,2677
08-04-2016 00:00,09:55:00,1429.9,1434,1428.8,1433.95,165,6298
08-04-2016 00:00,10:00:00,1433.75,1434,1432.25,1434,140,4419
08-04-2016 00:00,10:05:00,1433.15,1434.9,1432.85,1434.4,133,4334
08-04-2016 00:00,10:10:00,1434.15,1438.2,1433,1435.5,323,11244
08-04-2016 00:00,10:15:00,1435.6,1440.75,1435.6,1440,260,13940
08-04-2016 00:00,10:20:00,1440.75,1440.75,1438,1439.55,127,5856
08-04-2016 00:00,10:25:00,1439.55,1439.9,1435,1435.15,145,2735
08-04-2016 00:00,10:30:00,1435,1438.25,1435,1437.8,121,4262
08-04-2016 00:00,10:35:00,1437.65,1438,1436.45,1437,101,2680
08-04-2016 00:00,10:40:00,1437,1439,1436.75,1438,92,2456
08-04-2016 00:00,10:45:00,1438,1440,1436.15,1438.55,93,3036
08-04-2016 00:00,10:50:00,1438.45,1440.7,1438.4,1440.45,124,5812
08-04-2016 00:00,10:55:00,1440.45,1446,1440.35,1443.5,293,17267
08-04-2016 00:00,11:00:00,1443.5,1448.5,1441.5,1446.8,219,10789
08-04-2016 00:00,11:05:00,1447.55,1448.85,1445.9,1447.05,179,6061
08-04-2016 00:00,11:10:00,1446.7,1448.4,1446.05,1447.1,237,6734
08-04-2016 00:00,11:15:00,1447.1,1447.75,1442.4,1443.15,237,8334
08-04-2016 00:00,11:20:00,1443.6,1443.95,1439.65,1442.6,263,8356
08-04-2016 00:00,11:25:00,1442,1446.85,1442,1443.55,176,5691
08-04-2016 00:00,11:30:00,1443.95,1444.55,1441.8,1444.55,114,2734
08-04-2016 00:00,11:35:00,1443,1446.3,1443,1444,127,2696
08-04-2016 00:00,11:40:00,1444,1444.95,1441,1442.7,143,2359
08-04-2016 00:00,11:45:00,1442.85,1444.7,1442.15,1444.7,89,1385
08-04-2016 00:00,11:50:00,1444.3,1445,1441.1,1443.95,139,2025
